reference,tagged_entity,start_pos,topostext_id
2.106.2,Falerii,1922,423124UFal
2.106.2,Melas,1980,385233WMel
2.106.2,Boeotia,1989,384233RBoi
2.106.2,Cephisus,2020,388228WKep
2.106.2,Peneus,2078,399227WPen
2.106.2,Xanthus,2123,400262WSka
2.106.2,Ilium,2134,400262UIli
2.106.2,Black Sea,2242,435335WPon
2.106.2,Reate,2333,424129URea
2.106.2,Brindisi,2451,406179PBru
2.106.2,Lyncestis,2533,410214RLyn
2.106.2,Paphlagonia,2590,410300RPap
2.106.2,Cales,2626,412141UCal
2.106.3,Andros,144,378248PAnd
2.106.3,Styx,248,380222WSty
2.106.3,Nonacris,258,380222PNon
2.106.3,Arcadia,270,375223RArk
2.106.3,Como,775,45891UCom
2.106.3,Lesbos,889,392261ILes
2.106.3,Colophon,1027,381272PCol
2.106.4,Etna,1156,377150LAit
2.108.1,Samosata,3,375385USam
2.108.1,Commagene,24,380387RCom
2.109.1,Babylon,124,325444UBab
2.109.1,Parthia,159,370585RPar
2.110.1,Etna,29,377150LAit
2.110.1,Etna,242,377150LAit
2.110.1,Chimaera,300,364305LChi
2.110.1,Phaselis,327,365306PPha
2.110.1,Lycia,535,365295RLyc
2.110.1,Bactria,844,340670RBac
2.110.1,Media,905,355480RMed
2.110.1,Persia,944,295540RPer
2.110.1,Susa,981,322482PSus
2.110.1,Ethiopia,1165,130350REth
2.110.1,Megalopolis,1241,374221PMeg
2.110.1,Apollonia,1478,407195PApo
2.110.1,Holy Island,1736,384150IHie
2.110.1,Lipari,1752,385150PLip
2.110.1,Aeolian Islands,1769,385150IAio
2.110.1,Italy,1790,406163RIta
2.110.1,Ethiopia,1987,130350REth
2.111.1,Mutina,1175,446109UMut
2.111.1,Aricia,1287,417127UAri
2.111.1,Egnatia,1460,409174UEgn
2.111.1,Lacinium,1572,390172SLac
2.111.1,Trasimene,1834,432121WTra
2.112.1,India,177,300740RInd
2.112.1,Pillars,190,361000LPHe
2.112.1,Cadiz,225,365-063PGad
2.112.1,Cadiz,350,365-063PGad
2.112.1,Sacred Promontory,366,370000LSPr
2.112.1,Ganges,524,38898WGan
2.112.1,India,592,300740RInd
2.112.1,Parthyene,602,370585RPar
2.112.1,Myriandrus,634,366362UMyr
2.112.1,Issic gulf,661,367359WIss
2.112.1,Cyprus,733,350330RCyp
2.112.1,Patara,746,363293UPat
2.112.1,Lycia,756,365295RLyc
2.112.1,Rhodes,765,364282IRho
2.112.1,Astypalaea,790,365264PAst
2.112.1,Taenarus,827,364225STai
2.112.1,Laconia,839,370225RLak
2.112.1,Lilybaion,848,378124ULil
2.112.1,Sicily,861,376145RSic
2.112.1,Caralis,869,392091UKar
2.112.1,Sardinia,880,402920ISar
2.112.1,Cadiz,905,365-063PGad
2.112.1,Ganges,1043,38898WGan
2.112.1,Euphrates,1063,353403WEup
2.112.1,Mazaca,1090,387355UMaz
2.112.1,Cappadocia,1100,388350RCap
2.112.1,Caria,1143,370287RKar
2.112.1,Ephesus,1152,379273PEph
2.112.1,Ephesus,1170,379273PEph
2.112.1,Aegean Sea,1189,381253WAeg
2.112.1,Delos,1203,374253PDel
2.112.1,Isthmus,1221,379230LIst
2.112.1,Gulf of Corinth,1283,382226WCor
2.112.1,Patras,1302,382217PPat
2.112.1,Peloponnese,1316,375222RPel
2.112.1,Leucas,1340,387207PLeu
2.112.1,Corcyra,1358,396199PKer
2.112.1,Acroceraunia,1376,404194LKer
